l,School Code,Region,Cluster,Implementation Mode,Category Of Schools,Course Id, Course Watched Percentage,Assessment status, Project Status,Duration,Date,weight
8159,RRSD,Maharshtra,Nashik,School,B,20,0,0,0,0sec,7/16/2023,30
8160,RRSD,Maharshtra,Nashik,School,B,20,0,0,0,0sec,10/18/2023,31
8160,RRSD,Maharshtra,Nashik,School,B,73,0,0,0,0sec,10/18/2023,31
8161,RRSD,Maharshtra,Nashik,School,B,20,0,0,0,0sec,10/19/2023,50
8162,RRSD,Maharshtra,Nashik,School,B,20,0,0,0,0sec,7/16/2023,45
8163,RRSD,Maharshtra,Nashik,School,B,20,0,0,0,0sec,10/19/2023,39
8164,RRSD,Maharshtra,Nashik,School,B,20,0,0,0,0sec,10/19/2023,35
8165,RRSD,Maharshtra,Nashik,School,B,20,100%,YES,0,6440sec,10/19/2023,31
8165,RRSD,Maharshtra,Nashik,School,B,21,,0,0,0sec,10/27/2023,31
8166,RRSD,Maharshtra,Nashik,School,B,20,,0,0,0sec,10/19/2023,40
8167,RRSD,Maharshtra,Nashik,School,B,20,,0,0,0sec,10/19/2023,45
8168,RRSD,Maharshtra,Nashik,School,B,17,100%,0,0,00:08:29,10/22/2023,30
8168,RRSD,Maharshtra,Nashik,School,B,321,100%,0,0,00:14:56,7/15/2023,30
8168,RRSD,Maharshtra,Nashik,School,B,322,100%,YES,0,00:20:37,10/24/2023,30
8168,RRSD,Maharshtra,Nashik,School,B,328,100%,YES,0,00:40:32,10/26/2023,30
8168,RRSD,Maharshtra,Nashik,School,B,376,100%,0,0,00:05:43,10/26/2023,30
8168,RRSD,Maharshtra,Nashik,School,B,382,100%,0,0,00:32:32,08-05-2023,30
8168,RRSD,Maharshtra,Nashik,School,B,247,100%,0,0,00:34:59,10/28/2023,30
8168,RRSD,Maharshtra,Nashik,School,B,300,100%,1,0,00:33:16,10/28/2023,30
8168,RRSD,Maharshtra,Nashik,School,B,304,100%,1,0,00:26:22,10/19/2023,30
8168,RRSD,Maharshtra,Nashik,School,B,314,100%,0,0,00:05:34,10/28/2023,30
8168,RRSD,Maharshtra,Nashik,School,B,330,100%,1,0,00:36:36,10/16/2023,30
8168,RRSD,Maharshtra,Nashik,School,B,345,100%,0,0,00:07:35,11-05-2023,30
8168,RRSD,Maharshtra,Nashik,School,B,352,,0,0,0sec,11-05-2023,30
8168,RRSD,Maharshtra,Nashik,School,B,378,0,0,0,0sec,10/19/2023,30
8168,RRSD,Maharshtra,Nashik,School,B,391,120%,0,0,1320sec,00:27:20,30
8168,RRSD,Maharshtra,Nashik,School,B,392,100%,0,0,3290sec,10/19/2023,30
8168,RRSD,Maharshtra,Nashik,School,B,401,100%,1,0,1445sec,10/19/2023,30
8168,RRSD,Maharshtra,Nashik,School,B,405,100%,0,0,1550sec,10/28/2023,30
8169,RRSD,Maharshtra,Nashik,School,B,20,100%,1,0,5480sec,10/19/2023,34
8169,RRSD,Maharshtra,Nashik,School,B,21,100%,1,YES,11910sec,11-01-2023,34
8169,RRSD,Maharshtra,Nashik,School,B,22,0,0,YES,0sec,11-03-2023,34
8171,RRSD,Maharshtra,Nashik,School,B,20,0,0,YES,0sec,7/15/2023,35
8172,RRSD,Maharshtra,Nashik,School,B,20,0,0,YES,0sec,10/19/2023,42
8174,RRSD,Maharshtra,Nashik,School,B,20,100%,1,YES,6400sec,7/17/2023,33
8174,RRSD,Maharshtra,Nashik,School,B,21,0,0,YES,0sec,10/31/2023,33
8175,RRSD,Maharshtra,Nashik,School,B,20,0,0,YES,0sec,10/19/2023,49
