l,School Code,Region,Cluster,Implementation Mode,Category Of Schools,Course Id,Course Watched Percentage,Assessment status,Project Status,Duration,Date,weight
8159,RRSD,Maharshtra,Nashik,School,B,20,0,0,0,00:00:00,2023-07-16 00:00:00,30
8160,RRSD,Maharshtra,Nashik,School,B,20,0,0,0,00:00:00,2023-10-18 00:00:00,31
8160,RRSD,Maharshtra,Nashik,School,B,73,0,0,0,00:00:00,2023-10-18 00:00:00,31
8161,RRSD,Maharshtra,Nashik,School,B,20,0,0,0,00:00:00,2023-10-19 00:00:00,50
8162,RRSD,Maharshtra,Nashik,School,B,20,0,0,0,00:00:00,2023-07-16 00:00:00,45
8163,RRSD,Maharshtra,Nashik,School,B,20,0,0,0,00:00:00,2023-10-19 00:00:00,39
8164,RRSD,Maharshtra,Nashik,School,B,20,0,0,0,00:00:00,2023-10-19 00:00:00,35
8165,RRSD,Maharshtra,Nashik,School,B,20,100%,1,0,01:47:20,2023-10-19 00:00:00,31
8168,RRSD,Maharshtra,Nashik,School,B,17,100%,0,0,00:08:29,2023-10-22 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,321,100%,0,0,00:14:56,2023-07-15 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,322,100%,1,0,00:20:37,2023-10-24 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,328,100%,1,0,00:40:32,2023-10-26 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,376,100%,0,0,00:05:43,2023-10-26 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,382,100%,0,0,00:32:32,2023-08-05 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,247,100%,0,0,00:34:59,2023-10-28 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,300,100%,1,0,00:33:16,2023-10-28 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,304,100%,1,0,00:26:22,2023-10-19 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,314,100%,0,0,00:05:34,2023-10-28 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,330,100%,1,0,00:36:36,2023-10-16 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,345,100%,0,0,00:07:35,2023-11-05 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,378,0,0,0,00:00:00,2023-10-19 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,391,120%,0,0,00:22:00,2023-12-15 00:27:20,30
8168,RRSD,Maharshtra,Nashik,School,B,392,100%,0,0,00:54:50,2023-10-19 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,401,100%,1,0,00:24:05,2023-10-19 00:00:00,30
8168,RRSD,Maharshtra,Nashik,School,B,405,100%,0,0,00:25:50,2023-10-28 00:00:00,30
8169,RRSD,Maharshtra,Nashik,School,B,20,100%,1,0,01:31:20,2023-10-19 00:00:00,34
8169,RRSD,Maharshtra,Nashik,School,B,21,100%,1,1,03:18:30,2023-11-01 00:00:00,34
8169,RRSD,Maharshtra,Nashik,School,B,22,0,0,1,00:00:00,2023-11-03 00:00:00,34
8171,RRSD,Maharshtra,Nashik,School,B,20,0,0,1,00:00:00,2023-07-15 00:00:00,35
